Baseline,Debug flag,Time taken,Hilbert bits,D0_BSP,Test flag,D1_CHUNK,Input edge file,Priority group bits,D1_PRIO,Parallel,Chunk size bits,Time per round,Graph size
1,0,78.209716,7,0,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,0,7.8209716,50000000
0,0,22.536671,7,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,0,2.2536671,50000000
0,0,27.539679,7,0,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,16,2.7539679,50000000
1,0,86.502868,7,0,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,0,8.6502868,50000000
0,0,4.5664758,7,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,0,0.45664758,50000000
0,0,5.0887353,7,0,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,16,0.50887353,50000000
1,0,77.032718,8,0,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,0,7.7032718,50000000
0,0,22.132199,8,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,0,2.2132199,50000000
0,0,26.91583,8,0,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,16,2.691583,50000000
1,0,85.448586,8,0,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,0,8.5448586,50000000
0,0,5.3374242,8,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,0,0.53374242,50000000
0,0,5.3273425,8,0,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,1,16,0.53273425,50000000
