Baseline,Final result (ignore this line),Time taken,Hilbert bits,D0_BSP,Cilk workers,Test flag,D1_CHUNK,Input edge file,Debug flag,Priority group bits,D1_PRIO,Parallel,Chunk size bits,Time per round,Graph size
0,9.22337226,31.32581,0,0,12,0,1,/scratch/predrag/6.886/inputs_gen2/original_50M_1.adjlist,0,0,0,1,16,3.132581,50000000
1,4.606117326,97.827477,10,0,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,9.7827477,50000000
0,9.22337226,23.583804,10,1,1,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,2.3583804,50000000
0,9.22337226,27.138105,10,0,1,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,16,2.7138105,50000000
1,4.606117326,86.175354,10,0,2,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,8.6175354,50000000
0,9.22337226,12.567145,10,1,2,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,1.2567145,50000000
0,9.22337226,15.694725,10,0,2,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,16,1.5694725,50000000
1,4.606117326,85.709699,10,0,3,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,8.5709699,50000000
0,9.22337226,8.8763759,10,1,3,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,0.88763759,50000000
0,9.22337226,10.899213,10,0,3,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,16,1.0899213,50000000
0,9.22337226,7.0985954,10,1,4,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,0.70985954,50000000
0,9.22337226,8.9397083,10,0,4,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,16,0.89397083,50000000
0,9.22337226,6.2264008,10,1,5,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,0.62264008,50000000
0,9.22337226,7.5214823,10,0,5,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,16,0.75214823,50000000
0,9.22337226,5.3325731,10,1,6,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,0.53325731,50000000
0,9.22337226,6.7237021,10,0,6,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,16,0.67237021,50000000
0,9.22337226,5.1407568,10,1,7,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,0.51407568,50000000
0,9.22337226,6.1123062,10,0,7,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,16,0.61123062,50000000
0,9.22337226,4.8884166,10,1,8,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,0.48884166,50000000
0,9.22337226,5.8157744,10,0,8,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,16,0.58157744,50000000
0,9.22337226,4.7499141,10,1,9,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,0.47499141,50000000
0,9.22337226,5.2882321,10,0,9,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,16,0.52882321,50000000
0,9.22337226,4.6271355,10,1,10,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,0.46271355,50000000
0,9.22337226,5.6825732,10,0,10,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,16,0.56825732,50000000
0,9.22337226,4.6353945,10,1,11,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,0.46353945,50000000
0,9.22337226,5.1858322,10,0,11,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,16,0.51858322,50000000
0,9.22337226,4.5307969,10,1,12,0,0,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,0,0.45307969,50000000
0,9.22337226,5.0745212,10,0,12,0,1,/scratch/predrag/6.886/current_run/edges_reordered.adjlist,0,0,0,1,16,0.50745212,50000000
